event,time,magnitude,e_magnitude,band,system
SN2020eyj,58915.212,19.66,0.2,g,AB
SN2020eyj,58915.371,19.11,0.09,r,AB
SN2020eyj,58939.207,17.24,0.01,r,AB
SN2020eyj,58939.209,17.3,0.01,r,AB
SN2020eyj,58939.221,17.23,0.02,r,AB
SN2020eyj,58939.317,17.86,0.03,g,AB
SN2020eyj,58941.18,17.27,0.05,r,AB
SN2020eyj,58941.25,17.96,0.03,g,AB
SN2020eyj,58954.234,17.65,0.02,r,AB
SN2020eyj,58954.278,18.77,0.04,g,AB
SN2020eyj,58962.245,18.95,0.04,g,AB
SN2020eyj,58962.266,18.11,0.02,r,AB
SN2020eyj,58964.206,19,0.04,g,AB
SN2020eyj,58964.207,19.1,0.04,g,AB
SN2020eyj,58965.243,19.03,0.04,g,AB
SN2020eyj,58967.237,19.19,0.05,g,AB
SN2020eyj,58967.238,19.14,0.05,g,AB
SN2020eyj,58968.233,19.04,0.04,g,AB
SN2020eyj,58968.268,19.09,0.04,g,AB
SN2020eyj,58971.265,19.01,0.07,g,AB
SN2020eyj,58973.172,18.39,0.05,r,AB
SN2020eyj,58973.246,19.02,0.09,g,AB
SN2020eyj,58973.247,19.02,0.09,g,AB
SN2020eyj,58976.192,19.02,0.09,g,AB
SN2020eyj,58976.248,18.69,0.07,r,AB
SN2020eyj,58979.229,18.98,0.04,g,AB
SN2020eyj,58985.19,18.95,0.03,g,AB
SN2020eyj,58985.211,18.73,0.03,r,AB
SN2020eyj,58986.206,19.03,0.04,g,AB
SN2020eyj,58991.174,18.95,0.03,g,AB
SN2020eyj,58995.186,18.85,0.03,g,AB
SN2020eyj,58995.187,19.02,0.03,g,AB
SN2020eyj,59001.229,18.87,0.1,r,AB
SN2020eyj,59004.249,19.15,0.11,r,AB
SN2020eyj,59011.24,18.99,0.05,r,AB
SN2020eyj,59014.204,18.88,0.04,g,AB
SN2020eyj,59014.222,19.01,0.05,r,AB
SN2020eyj,59018.228,19.11,0.07,r,AB
SN2020eyj,59021.215,18.98,0.04,g,AB
SN2020eyj,59021.245,19.13,0.06,r,AB
SN2020eyj,59024.207,18.7,0.07,g,AB
SN2020eyj,59024.224,19.03,0.13,r,AB
SN2020eyj,59038.175,18.98,0.08,r,AB
SN2020eyj,59038.179,19.19,0.08,r,AB
SN2020eyj,59038.184,19.17,0.07,r,AB
SN2020eyj,59038.189,19.29,0.09,r,AB
SN2020eyj,59040.184,19.17,0.09,r,AB
SN2020eyj,59040.189,19.09,0.13,r,AB
SN2020eyj,59040.194,19,0.23,r,AB
SN2020eyj,59042.175,19.1,0.1,r,AB
SN2020eyj,59042.18,19.13,0.08,r,AB
SN2020eyj,59042.185,19.22,0.09,r,AB
SN2020eyj,59042.19,19.05,0.08,r,AB
SN2020eyj,59044.174,19.07,0.1,r,AB
SN2020eyj,59044.179,19.16,0.09,r,AB
SN2020eyj,59044.184,19.15,0.1,r,AB
SN2020eyj,59044.189,19.17,0.1,r,AB
SN2020eyj,59046.169,19.39,0.19,r,AB
SN2020eyj,59046.174,19.13,0.11,r,AB
SN2020eyj,59046.179,19.21,0.11,r,AB
SN2020eyj,59048.167,18.91,0.1,r,AB
SN2020eyj,59048.172,19.07,0.1,r,AB
SN2020eyj,59048.177,19.22,0.1,r,AB
SN2020eyj,59048.182,19.11,0.08,r,AB
SN2020eyj,59050.166,18.97,0.16,r,AB
SN2020eyj,59050.171,19.02,0.14,r,AB
SN2020eyj,59050.176,19.52,0.18,r,AB
SN2020eyj,59050.181,19.38,0.14,r,AB
SN2020eyj,59129.515,19.62,0.13,r,AB
SN2020eyj,59129.519,19.68,0.16,r,AB
SN2020eyj,59129.524,19.59,0.13,r,AB
SN2020eyj,59129.529,19.69,0.14,r,AB
SN2020eyj,59129.533,19.54,0.15,r,AB
SN2020eyj,59131.517,19.48,0.21,r,AB
SN2020eyj,59131.522,19.64,0.28,r,AB
SN2020eyj,59131.527,19.71,0.29,r,AB
SN2020eyj,59131.531,19.68,0.22,r,AB
SN2020eyj,59131.536,19.34,0.21,r,AB
SN2020eyj,59135.519,19.57,0.11,r,AB
SN2020eyj,59135.524,19.61,0.13,r,AB
SN2020eyj,59135.529,19.43,0.12,r,AB
SN2020eyj,59135.533,19.48,0.13,r,AB
SN2020eyj,59135.538,19.7,0.24,r,AB
SN2020eyj,59137.521,19.68,0.11,r,AB
SN2020eyj,59137.525,19.69,0.13,r,AB
SN2020eyj,59137.53,19.36,0.09,r,AB
SN2020eyj,59137.535,19.38,0.12,r,AB
SN2020eyj,59137.539,19.6,0.2,r,AB
SN2020eyj,59139.52,19.71,0.13,r,AB
SN2020eyj,59139.525,19.47,0.1,r,AB
SN2020eyj,59139.53,19.37,0.1,r,AB
SN2020eyj,59142.497,19.02,0.04,g,AB
SN2020eyj,59142.536,19.48,0.09,r,AB
SN2020eyj,59144.508,19.06,0.04,g,AB
SN2020eyj,59144.538,19.42,0.08,r,AB
SN2020eyj,59150.509,19.66,0.04,r,AB
SN2020eyj,59150.512,19.29,0.05,g,AB
SN2020eyj,59150.517,19.11,0.05,g,AB
SN2020eyj,59150.546,19.75,0.23,r,AB
SN2020eyj,59152.475,19.27,0.17,r,AB
SN2020eyj,59152.545,19.03,0.08,g,AB
SN2020eyj,59155.487,19.71,0.16,r,AB
SN2020eyj,59157.493,19.62,0.14,r,AB
SN2020eyj,59157.51,19.17,0.13,g,AB
SN2020eyj,59159.492,19.75,0.12,r,AB
SN2020eyj,59159.524,19.02,0.06,g,AB
SN2020eyj,59165.433,19.66,0.1,r,AB
SN2020eyj,59165.517,19.04,0.04,g,AB
SN2020eyj,59168.509,19.12,0.05,g,AB
SN2020eyj,59168.529,19.86,0.09,r,AB
SN2020eyj,59169.195,20.08,0.22,i,AB
SN2020eyj,59169.196,19.67,0.12,r,AB
SN2020eyj,59169.199,18.61,0.16,z,AB
SN2020eyj,59170.487,19.11,0.04,g,AB
SN2020eyj,59170.547,19.84,0.1,r,AB
SN2020eyj,59173.486,19.17,0.06,g,AB
SN2020eyj,59175.516,19.41,0.26,r,AB
SN2020eyj,59175.529,18.97,0.16,g,AB
SN2020eyj,59176.477,19.32,0.11,i,AB
SN2020eyj,59177.531,19.21,0.05,g,AB
SN2020eyj,59180.484,19.38,0.15,g,AB
SN2020eyj,59180.546,19.84,0.18,r,AB
SN2020eyj,59181.411,19.89,0.21,r,AB
SN2020eyj,59181.442,19.57,0.23,i,AB
SN2020eyj,59182.429,19.64,0.13,r,AB
SN2020eyj,59182.488,19.96,0.21,r,AB
SN2020eyj,59182.562,19.12,0.09,g,AB
SN2020eyj,59183.384,19.62,0.32,g,AB
SN2020eyj,59183.527,19.46,0.05,g,AB
SN2020eyj,59184.379,19.46,0.08,g,AB
SN2020eyj,59184.445,19.04,0.1,g,AB
SN2020eyj,59184.508,19.88,0.16,r,AB
SN2020eyj,59185.507,19.11,0.09,g,AB
SN2020eyj,59185.508,19.17,0.08,g,AB
SN2020eyj,59185.527,19.88,0.15,r,AB
SN2020eyj,59185.528,19.89,0.13,r,AB
SN2020eyj,59186.542,19.58,0.24,g,AB
SN2020eyj,59187.464,19.87,0.25,r,AB
SN2020eyj,59187.533,19.19,0.11,g,AB
SN2020eyj,59187.533,19.3,0.11,g,AB
SN2020eyj,59192.506,19.76,0.21,r,AB
SN2020eyj,59192.523,20.16,0.09,r,AB
SN2020eyj,59192.523,20.12,0.09,r,AB
SN2020eyj,59192.525,20.17,0.13,i,AB
SN2020eyj,59194.499,19.92,0.08,r,AB
SN2020eyj,59194.532,19.37,0.05,g,AB
SN2020eyj,59198.475,19.86,0.1,r,AB
SN2020eyj,59198.506,19.31,0.05,g,AB
